,,taskstart,,,1551102382899,
,,mouseover,,,1551102383527,RECORD_DATE
,,mouseout,,,1551102384527,RECORD_DATE
,,mouseover,,,1551102384527,RECORD_DATE
,,mouseout,,,1551102384728,RECORD_DATE
,,mouseover,,,1551102384728,TEMP_MIN
,,mouseout,,,1551102384946,TEMP_MIN
,,mouseover,,,1551102384946,TEMP_MIN
,,mouseout,,,1551102384946,TEMP_MIN
,,mouseover,,,1551102384946,PRECIPITATION
,,mouseout,,,1551102385068,PRECIPITATION
,,mouseover,,,1551102385068,PRECIPITATION
,,mouseout,,,1551102390410,PRECIPITATION
,,mouseover,,,1551102390410,PRECIPITATION
,,mouseout,,,1551102390427,PRECIPITATION
,,mouseover,,,1551102390427,WIND
,,mouseout,,,1551102390541,WIND
,,mouseover,,,1551102390541,WIND
,,mouseout,,,1551102398211,WIND
,,mouseover,,,1551102398211,WIND
,,mouseout,,,1551102399243,WIND
,,mouseover,,,1551102399243,WIND
,,mouseout,,,1551102400593,WIND
,,mouseover,,,1551102400593,WIND
,,mouseout,,,1551102401242,WIND
,,mouseover,,,1551102401242,WIND
,,mouseout,,,1551102402060,WIND
,,mouseover,,,1551102402060,WIND
,,mouseout,,,1551102402226,WIND
,,mouseover,,,1551102402226,WIND
,,mouseout,,,1551102403176,WIND
,,mouseover,,,1551102403176,WIND
,,mouseout,,,1551102403192,WIND
,,mouseover,,,1551102403210,TEMP_MAX
,,mouseout,,,1551102403321,TEMP_MAX
,,mouseover,,,1551102403321,TEMP_MAX
,,mouseout,,,1551102403322,TEMP_MAX
,,mouseover,,,1551102403322,TEMP_MAX
,,mouseout,,,1551102404243,TEMP_MAX
,,mouseover,,,1551102404462,ELEVATION
,,mouseout,,,1551102406992,ELEVATION
,,mouseover,,,1551102407010,TEMP_MAX
,,mouseout,,,1551102407026,TEMP_MAX
,,mouseover,,,1551102407044,TEMP_MIN
,,mouseout,,,1551102407059,TEMP_MIN
,,mouseover,,,1551102407059,TEMP_MIN
,,mouseout,,,1551102407792,TEMP_MIN
,,mouseover,,,1551102407792,TEMP_MIN
,,mouseout,,,1551102407808,TEMP_MIN
,,mouseover,,,1551102407826,SNOW
,,mouseout,,,1551102407941,SNOW
,,mouseover,,,1551102407941,SNOW
,,mouseout,,,1551102408076,SNOW
,,mouseover,,,1551102408076,SNOW
,,mouseout,,,1551102408127,SNOW
,,mouseover,,,1551102408143,LONGITUDE
,,mouseout,,,1551102408250,LONGITUDE
,,mouseover,,,1551102408250,LONGITUDE
,,mouseout,,,1551102408926,LONGITUDE
,,mouseover,,,1551102408926,LONGITUDE
,,mouseout,,,1551102409433,LONGITUDE
,,mouseover,,,1551102409433,LONGITUDE
,,down,,,1551102410574,
,,brushStart,,,1551102410574,LONGITUDE
-160,-160,brush,,,1551102410834,LONGITUDE
,,mouseout,,,1551102410863,LONGITUDE
,,mouseover,,,1551102410864,LONGITUDE
-159.0857142857143,-160,brush,,,1551102410864,LONGITUDE
,,mouseout,,,1551102410893,LONGITUDE
,,mouseover,,,1551102410893,LONGITUDE
-156.34285714285716,-160,brush,0.9999999999999966,0,1551102410893,LONGITUDE
-152.68571428571428,-160,brush,3.9999999999999862,0,1551102410919,LONGITUDE
,,mouseout,,,1551102411017,LONGITUDE
,,mouseover,,,1551102411017,LONGITUDE
