mouse,544,625,1551102812131
taskstart,,,1551102824669
mouse,42,254,1551102824963
mouse,48,255,1551102825022
mouse,62,271,1551102825089
mouse,178,400,1551102825154
mouse,311,432,1551102825223
mouse,343,426,1551102825289
mouse,333,408,1551102825587
mouse,352,404,1551102825656
mouse,481,415,1551102826133
mouse,813,416,1551102827932
mouse,815,407,1551102827989
mouse,814,405,1551102828083
mouse,726,452,1551102828138
mouse,646,630,1551102828389
mouse,656,648,1551102828455
mouse,664,658,1551102828579
mouse,656,651,1551102829067
mouse,667,652,1551102829122
mouse,696,674,1551102829188
mouse,694,793,1551102829351
mouse,692,795,1551102829427
mouse,680,781,1551102829489
mouse,645,688,1551102829555
mouse,615,497,1551102829622
mouse,515,335,1551102829689
mouse,476,299,1551102829804
mouse,476,299,1551102830051
mouse,482,300,1551102830104
mouse,500,301,1551102830156
mouse,526,300,1551102830221
mouse,528,300,1551102830307
mouse,528,300,1551102830955
mouse,526,300,1551102831011
mouse,525,300,1551102831072
mouse,525,300,1551102831155
mouse,524,299,1551102831403
mouse,526,298,1551102831459
mouse,528,299,1551102833044
mouse,528,299,1551102833155
mouse,528,297,1551102833451
mouse,525,297,1551102833771
mouse,522,297,1551102833838
mouse,522,288,1551102833905
mouse,522,288,1551102834563
mouse,525,300,1551102834621
mouse,526,303,1551102834843
mouse,525,304,1551102834907
mouse,523,306,1551102834972
mouse,523,306,1551102835051
mouse,525,307,1551102835147
mouse,525,307,1551102835331
mouse,527,307,1551102835422
mouse,528,307,1551102835579
mouse,529,307,1551102835651
mouse,530,307,1551102835891
mouse,552,291,1551102835954
mouse,585,262,1551102836021
mouse,586,261,1551102836088
mouse,587,261,1551102836154
mouse,588,261,1551102836219
mouse,587,264,1551102836271
mouse,576,284,1551102836338
mouse,577,285,1551102836459
mouse,695,285,1551102836521
mouse,1418,316,1551102836671
mouse,1351,338,1551102836721
mouse,1176,398,1551102836788
mouse,858,409,1551102836855
mouse,620,415,1551102836922
mouse,610,412,1551102836988
mouse,600,385,1551102837054
mouse,572,370,1551102837121
mouse,513,347,1551102837187
mouse,522,333,1551102837238
mouse,537,321,1551102837305
mouse,547,315,1551102837372
mouse,547,315,1551102837475
mouse,542,316,1551102837538
mouse,538,317,1551102837610
mouse,537,317,1551102837691
mouse,535,317,1551102837754
mouse,532,316,1551102837805
mouse,531,316,1551102837859
mouse,530,315,1551102837921
mouse,530,315,1551102837995
mouse,528,315,1551102838055
mouse,527,315,1551102838122
mouse,527,315,1551102838499
mouse,527,315,1551102839491
mouse,544,315,1551102839595
mouse,552,315,1551102839659
mouse,555,315,1551102839738
mouse,556,315,1551102840003
mouse,557,314,1551102840055
mouse,558,314,1551102841419
mouse,559,314,1551102841739
mouse,562,314,1551102841830
mouse,564,314,1551102841888
mouse,568,314,1551102841956
mouse,570,314,1551102842021
mouse,570,314,1551102842088
mouse,573,314,1551102842155
mouse,574,314,1551102842223
mouse,575,314,1551102842282
mouse,576,314,1551102842338
mouse,579,314,1551102842405
mouse,581,314,1551102842472
mouse,582,314,1551102842538
mouse,583,314,1551102842594
mouse,584,314,1551102842707
mouse,584,314,1551102842786
mouse,585,314,1551102842842
mouse,586,314,1551102842905
mouse,586,314,1551102843027
mouse,588,314,1551102843227
mouse,588,314,1551102843299
mouse,589,314,1551102843491
mouse,591,314,1551102843555
mouse,591,314,1551102843787
mouse,591,314,1551102844075
mouse,580,315,1551102844138
mouse,567,317,1551102844206
mouse,563,318,1551102844387
mouse,563,318,1551102845827
mouse,563,325,1551102845889
mouse,562,331,1551102845955
mouse,561,334,1551102846021
mouse,561,336,1551102847347
mouse,565,337,1551102847404
mouse,566,337,1551102847458
mouse,569,337,1551102847521
mouse,570,337,1551102847588
mouse,576,338,1551102847654
mouse,583,338,1551102847738
mouse,587,339,1551102847805
mouse,589,339,1551102847855
mouse,591,340,1551102847922
mouse,595,340,1551102847987
mouse,598,340,1551102848038
mouse,603,341,1551102848104
